FIRST AMERICAN MORTGAGE TRUST,1426
FIRST AND CITIZENS BANK,6502
FIRST ATLANTIC FCU,2036
FIRST BANK,79757
FIRST BANK & TRUST,333
FIRST BANK AND TRUST COMPANY,252321
FIRST BANK OF CHARLESTON,11043
FIRST BANK OF GEORGIA,1714
FIRST BANK OF OWASSO,25
FIRST BEXLEY BANK,100
FIRST CAPITAL BANK,141412
FIRST CENTURY BANK,16864
"FIRST CENTURY BANK, N.A.",37620
FIRST CHOICE AMERICA CMTY FCU,13073
FIRST CHOICE BANK,67422
FIRST CHOICE LOAN SERVICES INC,404752
FIRST COMMERCE CREDIT UNION,358
FIRST COMMONWEALTH HOME MTGE,240
FIRST COMMUNITY BANK,152598
FIRST COMMUNITY BANK OF MERCER,2540
FIRST COMMUNITY MORTGAGE,160043
FIRST COMMUNITY NATIONAL BANK,648
FIRST EAGLE FEDERAL CU,568
FIRST EQUITY MORTGAGE INC,99011
FIRST EXCHANGE BANK,25359
FIRST FEDERAL BANK,97974
FIRST FEDERAL BANK OF FLORIDA,3278
"FIRST FEDERAL BANK, FSB",62547
FIRST FEDERAL OF LAKEWOOD,2082
FIRST FEDERAL S&L ASSOCIATION,62656
FIRST FEDERAL SAVINGS BANK,78
FIRST FEDERAL SVG BANK BOSTON,306
FIRST FINANCIAL BANK,1515
FIRST FINANCIAL BANK NA,397
FIRST FINANCIAL OF MD CU,80056
"FIRST FINANCIAL SERVICES, INC.",399309
FIRST FLORIDA BANK,603
FIRST GUARANTY MORTGAGE CORP,533452
"FIRST HERITAGE MORTGAGE, LLC",2368595
FIRST HOME MORTGAGE,7184886
"FIRST HOPE BANK, A NATIONAL BA",444
"FIRST HOPE MORTGAGES, INC",312
FIRST INTERNET BANK OF INDIANA,107304
FIRST LIBERTY FINANCIAL MORTGA,24666
FIRST MERCHANTS BANK NA,210
FIRST NATIONAL BANK,15387
FIRST NATIONAL BANK OF AMERICA,4428
FIRST NATIONAL BANK OF LAYTON,126354
FIRST NATIONAL BANK OF OMAHA,622
FIRST NATIONAL BANK OF PA,104438
FIRST NATIONAL BANK OF STLOUIS,1010
FIRST NATIONAL BANK SALLISAW,150
FIRST NATIONAL BANK TEXAS,821
FIRST NB OF MUSKOGEE,38
FIRST NBC BANK,590
FIRST NEIGHBORHOOD BANK,12513
FIRST NEW ENGLAND FEDERAL C.U.,180
FIRST NEW MEXICO BANK,338
FIRST NIAGARA BANK,2453
FIRST NORTHERN BANK AND TRUST,148
"FIRST OHIO HOME FINANCE, INC",1651
"FIRST OPTION MORTGAGE, LLC",2381
FIRST PEOPLES BANK,4030
FIRST PEOPLES COMMUNITY FEDERA,108245
FIRST PLACE BANK,704412
FIRST PRIORITY FCU,9459
FIRST PRIORITY FINANCIAL INC,1153
FIRST REPUBLIC BANK,35821
FIRST SAVINGS BANK OF PERKASIE,524
FIRST SAVINGS MORTGAGE CORPORA,6179717
FIRST SECURITY BANK,838
FIRST SENTRY BANK,19010
FIRST SHORE FEDERAL S&L ASSOC,21856
FIRST STATE BANK,1109
FIRST STATE BANK OF ILLINOIS,250
FIRST STATE BANK OF ST CHARLES,3344
FIRST STATE FINANCIAL,252
FIRST TECHNOLOGY FED CU,15667
FIRST TENNESSEE BANK NA,48474
FIRST UNITED BANK & TRUST,123564
FIRST UNITED BANK AND TRUST CO,596
FIRST VIRGINIA COMMUNITY BANK,51506
FIRST-CITIZENS BANK & TRUST CO,193369
FIRSTBANK,93678
FIRSTENERGY CHOICE FCU,293
"FIRSTKEY MORTGAGE, LLC",2223
FIRSTMERIT BANK NA,808
FIRSTRUST,9864
FLAGSTAR BANK,3674594
"FM LENDING SERVICES, LLC",1496823
FME FEDERAL CREDIT UNION,174
"FNB BANK, INC.",11777
FNB OF MCMINNVILLE,450
FNCB,339
FOREST COMMERCIAL BANK,230
FORT BILLINGS FCU,233
FORT LEE FEDERAL CREDIT UNION,5831
FORT SILL NATIONAL BANK,802
FOSTER BANK,1677
FOUNDATION BANK,598
FOUNDATION FIRST BANK,653
FOUNDATION MORTGAGE CORPORATIO,1405
FOX CHASE BANK,767
FRANKLIN AMERICAN MORTGAGE CO,1129144
FRANKLIN BANK,260
FRANKLIN BANK & TRUST COMPANY,231
"FRANKLIN COMMUNITY BANK, N.A.",6900
"FRANKLIN FEDERAL MTG CTR, LLC",1052
FRANKLIN FEDERAL SAVINGS BANK,11507
"FRANKLIN FIRST FINANCIAL, LTD.",29581
FRANKLIN MINT FEDERAL CU,19305
FRANKLIN TEMPLETON BK & TRUST,300
FRATERNITY FS&LA,51767
FRB FEDERRAL CREDIT UNION,897
FREDERICK COUNTY BANK,23034
FREEDOM CREDIT UNION,803
FREEDOM FEDERAL CREDIT UNION,9357
FREEDOM FIRST CREDIT UNION,135125
FREEDOM MORTGAGE CORPORATION,2840405
FRONT ROYAL FCU,390
FRONTIER COMMUNITY BANK,4783
"FSGBANK, N.A.",209
FULTON BANK OF NEW JERSEY,896
"FULTON BANK, N.A.",992854
FUNDING RESOURCES MORTGAGE CO,2849
GATEWAY BANK MORTGAGE INC.,236343
"GATEWAY FUNDING DMS, LP",393614
GATEWAY METRO FED CREDIT UNION,613
GATEWAY MORTGAGE GROUP LLC,32762
GEEFCU,1606
GEICO FEDERAL CREDIT UNION,15219
"GENEQUITY MORTGAGE, INC",1782
GENERAL MILLS FCU,425
GENERATION MORTGAGE COMPANY,120688
"GEO-CORP, INC.",118624
GEORGE MASON MORTGAGE LLC,10247308
GEORGIA BANKING COMPANY,33816
GEORGIA COMMERCE BANK,558
GFCU,150
GIBRALTAR PRIVATE B&TC,252
"GILPIN FINANCIAL SERVICES, INC",77111
GLACIER BANK,60
GLADEWATER NATIONAL BANK,14077
GLEN BURNIE MUTUAL SAVINGS BNK,22742
"GMAC MORTGAGE, LLC",1132
"GMFS, LLC",1405
GMH MORTGAGE SERVICES LLC,77331
"GMS FUNDING, LLC",834
GOLD COAST BANK,2697
GOLD STAR MORTGAGE FINANCIAL,54298
GOLDEN PACIFIC BANK NA,410
GOLDMAN SACHS BANK USA,75536
"GOLDWATER BANK, N.A.",6589
GRAND BANK NA,102435
GREAT LAKES CREDIT UNION,2075
GREAT PLAINS NATIONAL BANK,78336
GREAT SOUTHERN BANK,260
"GREEN PLANET SERVICING, LLC",8675
"GREENCHOICE BANK, FSB",2992
GREENLIGHT FINANCIAL SERVICES,211199
"GREENTREE MORTGAGE CO., L.P.",3110
GRUNDY NATIONAL BANK,2729
"GSB MORTGAGE, INC.",776
GSF MORTGAGE CORPORATION,116225
GUARANTEED HOME MORTGAGE COMPA,68801
GUARANTEED RATE INC,475896
"GUARANTY BANK, FSB",35380
GUARANTY TRUST COMPANY,251727
GUARDHILL FINANCIAL CORP.,20267
"GUARDIAN SAVINGS BANK, FSB",390
"GUIDANCE RESIDENTIAL, LLC",118596
GUILD MORTGAGE COMPANY,39447
HAMILTON BANK,20483
HAMILTON GROUP FUNDING,22717
HAMILTON NATIONAL MORTGAGE COM,163505
HANCOCK CTY SVG BK FSB,85168
HANSCOM FED CREDIT UNION,23815
HAR-CO MARYLAND FCU,70598
HARBOR NATIONAL BANK,2497
HARFORD BANK,10453
HARTFORD FUNDING LTD.,6913
HARVEST COMMUNITY BANK,760
HEALTHCARE ASSOC. CREDIT UNION,380
HEARTLAND BANK,11854
HEBRON SAVINGS BANK,25069
HENRICO FEDERAL CREDIT UNION,15528
HERITAGE BANK,1145
HERITAGE BANK OF CENTRAL IL,548
HERITAGEBANK OF THE SOUTH,2268
HIGHLANDS RESIDENTIAL MORTGAGE,81231
HIGHLANDS UNION BANK,25711
HIWAY FEDERAL CREDIT UNION,1177
HOME COMMUNITY MORTGAGE LLC,11985
HOME FEDERAL BANK,455
HOME FEDERAL SAVINGS AND LOAN,2230
HOME FINANCE OF AMERICA,50108
